Established clonotypes
Minimum,Maximum,Mean,SD
82.85981,125.69907,122.65381,5.69572
""
3 Clonotypes
Niche,Scenario,Minimum,Maximum,Mean,SD,"n0 = (4, 8, 8)"
Hard niche,a,6.81709,19.18678,17.35177,1.80577,16.39024
Hard niche,b,2.03428,9.11377,7.59469,1.20859,6.41608
Hard niche,c,1.29675,7.17668,5.55155,1.15961,4.63383
Hard niche,d,0.8268,5.50358,3.88643,1.11094,3.33387
Soft niche,a,0.97342,6.72142,4.93523,1.25034,3.28114
Soft niche,b,0.82484,6.04472,4.42057,1.13409,2.9875
Soft niche,c,0.71514,5.52973,3.95902,1.04009,2.77121
Soft niche,d,0.48991,4.3117,3.01198,0.84731,2.1749
