Niche,Scenario,Minimum,Maximum,Mean,Standard deviation,"(4, 8, 8)"
Hard niche,a,6.8170890070712655,19.18677702896316,17.35176750214533,1.8057744667515365,16.390242995589382
Hard niche,b,2.0342781308213755,9.113766762676432,7.594693448902236,1.2085914892080718,6.4160837959655375
Hard niche,c,1.2967510655732837,7.17668065933005,5.551551834071858,1.1596144227511453,4.633826620370198
Hard niche,d,0.8267953027805895,5.503576946359564,3.886431280710711,1.1109366374006497,3.3338695271506964
Soft niche,a,0.9734193290922217,6.72141694494692,4.935229690098799,1.2503418200552037,3.281137012712333
Soft niche,b,0.8248413596439649,6.044719314219876,4.4205712847018095,1.134093854463364,2.9874994390156244
Soft niche,c,0.7151425121320278,5.52972903904343,3.959016823917366,1.040090920937226,2.7712111805618997
Soft niche,d,0.4899118794139957,4.311702129866467,3.0119770645074193,0.8473130317405921,2.1749040483774578
